Column,id,title,publication,date
37602,56440,The Democrats’ Republican moment,CNN,2016-07-29T00:00:00Z
37753,56594,Trump has Harvard Republicans seeing crimson,CNN,2016-08-04T00:00:00Z
37809,56650,George P. Bush urges Republicans to back Trump,CNN,2016-08-08T00:00:00Z
37890,56731,"Republicans flee Trump: drip, drip, drip",CNN,2016-08-09T00:00:00Z
38612,57461,Republicans for Clinton: Why we oppose Trump,CNN,2016-09-04T00:00:00Z
38785,57634,New Clinton ad highlights Republicans criticizing Trump,CNN,2016-09-10T00:00:00Z
39525,58382,Republicans back away from Trump,CNN,2016-10-08T00:00:00Z
39555,58412,Which Republicans are abandoning Trump and which are sticking by him?,CNN,2016-10-08T00:00:00Z
39557,58414,Why Republicans can’t easily dump Trump off the ballot,CNN,2016-10-08T00:00:00Z
39559,58416,Giuliani not surprised Republicans backing away from Trump,CNN,2016-10-09T00:00:00Z
39564,58421,17 other things Trump said that didn’t stop Republicans from supporting him,CNN,2016-10-08T00:00:00Z
39707,58567,"Obama on Republicans disavowing Trump: Too little, too late",CNN,2016-10-14T00:00:00Z
39888,58751,Trump tests strength of the Republican brand,CNN,2016-11-07T00:00:00Z
39893,58756,James Comey: The man Democrats and Republicans hate,CNN,2016-11-07T00:00:00Z
39910,58774,Republicans keep control of Congress,CNN,2016-11-08T00:00:00Z
40221,59087,Sarkozy out of France’s Republican presidential race,CNN,2016-11-20T00:00:00Z
40415,59283,’French Thatcher’ Fillon wins France’s Republican primary,CNN,2016-11-27T00:00:00Z
40626,59495,"Republicans angling for posh ambassadorships, RNC chair",CNN,2016-12-04T00:00:00Z
40741,59611,Biden on if he ran: Republicans would ’probably have eaten me alive’,CNN,2016-12-08T00:00:00Z
41723,60657,Ernst: Republican Congress to lead U.S. in new direction,CNN,2015-01-21T00:00:00Z
41853,60789,Obama’s ANWR move triggers fight with Alaska Republicans,CNN,2015-01-25T00:00:00Z
42321,61264,CPAC liveblog: Republicans unite against Hillary,CNN,2015-02-26T00:00:00Z
42485,61429,"Republicans warn Iran, and White House",CNN,2015-03-10T00:00:00Z
42506,61450,Iran letter: Did 47 Republican senators break the law?,CNN,2015-03-10T00:00:00Z
43657,62609,Bruce Jenner says he’s a Republican,CNN,2015-04-25T00:00:00Z
44094,63052,Ben Carson captures southern Republican straw poll,CNN,2015-05-23T00:00:00Z
44137,63095,Hillary Clinton baits Republicans on equal pay,CNN,2015-05-27T00:00:00Z
44139,63097,Rand Paul: Republican brand ’sucks’ and is ’broken’,CNN,2015-05-27T00:00:00Z
44191,63150,The Republican Hunger Games,CNN,2015-05-28T00:00:00Z
44337,63299,Republican National Committee:,CNN,2015-06-02T00:00:00Z
44661,63626,CNN announces Republican primary debate state,CNN,2015-06-10T00:00:00Z
44971,63942,This question stumps Republican 2016ers,CNN,2015-05-13T00:00:00Z
45385,64358,Immigration: The debate Republicans don’t want,CNN,2015-07-08T00:00:00Z
45631,64614,"Clinton campaign, Republicans clash over Benghazi",CNN,2015-07-25T00:00:00Z
45820,64805,CNN fact checks the 2016 Republican debates,CNN,2015-08-06T00:00:00Z
